class_id,config_types,n_blocks,n_meas,n_contexts,lp_value,lp_status,hit_5_2
1004,14 66 218,3,8,18,2.000000000000,0,0
1005,14 66 218 218,4,10,36,2.000000000000,0,0
1006,14 66 218 219,4,10,36,2.000000000000,0,0
1007,14 66 218 222,4,10,36,2.000000000000,0,0
1008,14 66 218 328,4,10,36,2.000000000000,0,0
1009,14 66 218 329,4,10,36,2.000000000000,0,0
1010,14 66 218 330,4,10,36,2.000000000000,0,0
1011,14 66 218 347,4,10,36,2.000000000000,0,0
1012,14 66 218 348,4,10,36,2.000000000000,0,0
1013,14 66 218 353,4,10,36,2.000000000000,0,0
1014,14 66 219,3,8,18,2.000000000000,0,0
1015,14 66 219 219,4,10,36,2.000000000000,0,0
1016,14 66 219 222,4,10,36,2.000000000000,0,0
1017,14 66 219 329,4,10,36,2.000000000000,0,0
1018,14 66 219 330,4,10,36,2.000000000000,0,0
1019,14 66 219 347,4,10,36,2.000000000000,0,0
1020,14 66 219 348,4,10,36,2.000000000000,0,0
1021,14 66 219 353,4,10,36,2.000000000000,0,0
1022,14 66 222 347,4,10,36,2.000000000000,0,0
1023,14 66 222 348,4,10,36,2.000000000000,0,0
1024,14 66 347,3,8,18,2.000000000000,0,0
1025,14 66 347 347,4,10,36,2.000000000000,0,0
1026,14 66 347 348,4,10,36,2.000000000000,0,0
1027,14 66 347 353,4,10,36,2.000000000000,0,0
1028,14 66 348,3,8,18,2.000000000000,0,0
1029,14 66 348 348,4,10,36,2.000000000000,0,0
1030,14 66 348 353,4,10,36,2.000000000000,0,0
1031,14 66 355,3,9,27,2.000000000000,0,0
1032,14 67 73 218,4,10,36,2.000000000000,0,0
1033,14 67 73 348,4,10,36,2.000000000000,0,0
1034,14 67 74 218,4,10,36,2.000000000000,0,0
1035,14 67 74 219,4,10,36,2.000000000000,0,0
1036,14 67 74 328,4,10,36,2.000000000000,0,0
1037,14 67 74 329,4,10,36,2.000000000000,0,0
1038,14 67 74 347,4,10,36,2.000000000000,0,0
1039,14 67 74 348,4,10,36,2.000000000000,0,0
1040,14 67 79 218,4,10,36,2.000000000000,0,0
1041,14 67 79 219,4,10,36,2.000000000000,0,0
1042,14 67 79 328,4,10,36,2.000000000000,0,0
1043,14 67 79 329,4,10,36,2.000000000000,0,0
1044,14 67 79 347,4,10,36,2.000000000000,0,0
1045,14 67 79 348,4,10,36,2.000000000000,0,0
1046,14 67 95 218,4,10,36,2.000000000000,0,0
1047,14 67 95 348,4,10,36,2.000000000000,0,0
1048,14 67 97 218,4,10,36,2.000000000000,0,0
1049,14 67 97 348,4,10,36,2.000000000000,0,0
1050,14 67 98 218,4,10,36,2.000000000000,0,0
1051,14 67 98 348,4,10,36,2.000000000000,0,0
1052,14 67 218,3,8,18,2.000000000000,0,0
1053,14 67 218 218,4,10,36,2.000000000000,0,0
1054,14 67 218 219,4,10,36,2.000000000000,0,0
1055,14 67 218 222,4,10,36,2.000000000000,0,0
1056,14 67 218 328,4,10,36,2.000000000000,0,0
1057,14 67 218 329,4,10,36,2.000000000000,0,0
1058,14 67 218 330,4,10,36,2.000000000000,0,0
1059,14 67 218 347,4,10,36,2.000000000000,0,0
1060,14 67 218 348,4,10,36,2.000000000000,0,0
1061,14 67 218 353,4,10,36,2.000000000000,0,0
1062,14 67 219 222,4,10,36,2.000000000000,0,0
1063,14 67 219 348,4,10,36,2.000000000000,0,0
1064,14 67 219 353,4,10,36,2.000000000000,0,0
1065,14 67 222 328,4,10,36,2.000000000000,0,0
1066,14 67 222 329,4,10,36,2.000000000000,0,0
1067,14 67 222 347,4,10,36,2.000000000000,0,0
1068,14 67 222 348,4,10,36,2.000000000000,0,0
1069,14 67 328 348,4,10,36,2.000000000000,0,0
1070,14 67 328 353,4,10,36,2.000000000000,0,0
1071,14 67 329 348,4,10,36,2.000000000000,0,0
1072,14 67 329 353,4,10,36,2.000000000000,0,0
1073,14 67 330 348,4,10,36,2.000000000000,0,0
1074,14 67 347 348,4,10,36,2.000000000000,0,0
1075,14 67 347 353,4,10,36,2.000000000000,0,0
1076,14 67 348,3,8,18,2.000000000000,0,0
1077,14 67 348 348,4,10,36,2.000000000000,0,0
1078,14 67 348 353,4,10,36,2.000000000000,0,0
1079,14 68 73 218,4,10,36,2.000000000000,0,0
1080,14 68 73 219,4,10,36,2.000000000000,0,0
1081,14 68 73 328,4,10,36,2.000000000000,0,0
1082,14 68 73 329,4,10,36,2.000000000000,0,0
1083,14 68 73 347,4,10,36,2.000000000000,0,0
1084,14 68 73 348,4,10,36,2.000000000000,0,0
1085,14 68 74 218,4,10,36,2.000000000000,0,0
1086,14 68 74 219,4,10,36,2.000000000000,0,0
1087,14 68 74 328,4,10,36,2.000000000000,0,0
1088,14 68 74 329,4,10,36,2.000000000000,0,0
1089,14 68 74 347,4,10,36,2.000000000000,0,0
1090,14 68 74 348,4,10,36,2.000000000000,0,0
1091,14 68 79 218,4,10,36,2.000000000000,0,0
1092,14 68 79 219,4,10,36,2.000000000000,0,0
1093,14 68 95 218,4,10,36,2.000000000000,0,0
1094,14 68 95 219,4,10,36,2.000000000000,0,0
1095,14 68 97 218,4,10,36,2.000000000000,0,0
1096,14 68 97 219,4,10,36,2.000000000000,0,0
1097,14 68 97 328,4,10,36,2.000000000000,0,0
1098,14 68 97 329,4,10,36,2.000000000000,0,0
1099,14 68 97 347,4,10,36,2.000000000000,0,0
1100,14 68 97 348,4,10,36,2.000000000000,0,0
1101,14 68 98 218,4,10,36,2.000000000000,0,0
1102,14 68 98 219,4,10,36,2.000000000000,0,0
1103,14 68 98 328,4,10,36,2.000000000000,0,0
1104,14 68 98 329,4,10,36,2.000000000000,0,0
1105,14 68 98 347,4,10,36,2.000000000000,0,0
1106,14 68 98 348,4,10,36,2.000000000000,0,0
1107,14 68 218,3,8,18,2.000000000000,0,0
1108,14 68 218 218,4,10,36,2.000000000000,0,0
1109,14 68 218 219,4,10,36,2.000000000000,0,0
1110,14 68 218 222,4,10,36,2.000000000000,0,0
1111,14 68 218 328,4,10,36,2.000000000000,0,0
1112,14 68 218 329,4,10,36,2.000000000000,0,0
1113,14 68 218 330,4,10,36,2.000000000000,0,0
1114,14 68 218 347,4,10,36,2.000000000000,0,0
1115,14 68 218 348,4,10,36,2.000000000000,0,0
1116,14 68 218 353,4,10,36,2.000000000000,0,0
1117,14 68 219,3,8,18,2.000000000000,0,0
1118,14 68 219 219,4,10,36,2.000000000000,0,0
1119,14 68 219 222,4,10,36,2.000000000000,0,0
1120,14 68 219 328,4,10,36,2.000000000000,0,0
1121,14 68 219 329,4,10,36,2.000000000000,0,0
1122,14 68 219 330,4,10,36,2.000000000000,0,0
1123,14 68 219 347,4,10,36,2.000000000000,0,0
1124,14 68 219 348,4,10,36,2.000000000000,0,0
1125,14 68 219 353,4,10,36,2.000000000000,0,0
1126,14 73 73 218,4,9,24,2.000000000000,0,0
1127,14 73 73 348,4,9,24,2.000000000000,0,0
1128,14 73 74 218,4,9,24,2.000000000000,0,0
1129,14 73 74 219,4,9,24,2.000000000000,0,0
1130,14 73 74 328,4,9,24,2.000000000000,0,0
1131,14 73 74 329,4,9,24,2.000000000000,0,0
1132,14 73 74 347,4,9,24,2.000000000000,0,0
1133,14 73 74 348,4,9,24,2.000000000000,0,0
1134,14 73 74 355,4,10,36,2.000000000000,0,0
1135,14 73 79 218,4,9,24,2.000000000000,0,0
1136,14 73 79 219,4,9,24,2.000000000000,0,0
1137,14 73 79 328,4,9,24,2.000000000000,0,0
1138,14 73 79 329,4,9,24,2.000000000000,0,0
1139,14 73 79 347,4,9,24,2.000000000000,0,0
1140,14 73 79 348,4,9,24,2.000000000000,0,0
1141,14 73 79 355,4,10,36,2.000000000000,0,0
1142,14 73 81 218,4,10,36,2.000000000000,0,0
1143,14 73 81 348,4,10,36,2.000000000000,0,0
1144,14 73 95 218,4,9,24,2.000000000000,0,0
1145,14 73 95 348,4,9,24,2.000000000000,0,0
1146,14 73 97 218,4,9,24,2.000000000000,0,0
1147,14 73 97 348,4,9,24,2.000000000000,0,0
1148,14 73 98 218,4,9,24,2.000000000000,0,0
1149,14 73 98 348,4,9,24,2.000000000000,0,0
1150,14 73 218,3,7,12,2.000000000000,0,0
1151,14 73 218 218,4,9,24,2.000000000000,0,0
1152,14 73 218 219,4,9,24,2.000000000000,0,0
1153,14 73 218 222,4,9,24,2.000000000000,0,0
1154,14 73 218 230,4,10,36,2.000000000000,0,0
1155,14 73 218 303,4,10,36,2.000000000000,0,0
1156,14 73 218 328,4,9,24,2.000000000000,0,0
1157,14 73 218 329,4,9,24,2.000000000000,0,0
1158,14 73 218 330,4,9,24,2.000000000000,0,0
